"","crimes","lat","lon"
"133","Arson",43.0797126685785,-87.9260249310226
"134","Arson",43.080599,-87.9071639
"135","Arson",43.0733288,-87.9097835
"136","Arson",43.0786456,-87.9072267
"137","Arson",43.1073280547404,-87.9614841446088
"138","Arson",43.0754364,-87.9456575
"139","Arson",43.1022443,-88.0097401
"140","Arson",43.0486000752472,-87.9539462047855
"141","Arson",42.9990997439193,-87.9164509854915
"142","Arson",43.1260154,-88.0134193
"143","Arson",43.0870915,-87.9444423
"144","Arson",43.1133867165551,-87.9564933241542
"145","Arson",43.1192033351333,-87.9533370453066
"146","Arson",43.0220836,-87.9448075
"147","Arson",43.0218282,-87.9440095
"148","Arson",43.1017703,-87.9703083
"149","Arson",43.0691432475506,-87.948528806329
"150","Arson",43.0871513,-87.9412918
"151","Arson",43.0726644,-87.9383894
"152","Arson",43.0625229,-87.9115566
"153","Arson",42.9746089694058,-87.9304240154827
"154","Arson",43.0592733,-87.9514246
"155","Arson",43.0403579897889,-87.9427941279945
"156","Arson",43.0760046,-87.947617
"157","Arson",43.0082049853276,-87.9203969242424
"158","Arson",43.0641923,-87.9262599
"159","Arson",43.0750236,-87.9173852
"160","Arson",42.9746089694058,-87.9304240154827
"161","Arson",43.0445756,-87.9146984
"162","Arson",43.0445869266301,-87.9354449136951
"163","Arson",43.0424077146773,-87.9270727836195
"164","Arson",43.0887177,-87.9317142
"165","Arson",43.0685616,-87.9770983
"166","Arson",43.0557817364752,-87.9552852755957
"167","Arson",43.0766793,-87.9085977
"168","Arson",43.1314917986815,-88.0157774641015
"169","Arson",43.0871590132909,-87.910916285944
"170","Arson",43.0135295,-87.9321567
"171","Arson",43.0676945876845,-87.9064518650682
"172","Arson",43.0696337405386,-87.9905494428587
"173","Arson",43.1005932,-88.0145481
"174","Arson",43.0315613586023,-87.9541944439204
"175","Arson",43.121009,-88.0217512
"176","Arson",43.1850657679023,-88.0226744766344
"177","Arson",43.06816,-87.9618993
"178","Arson",43.0794727,-87.9400095
"179","Arson",43.0641970222234,-87.9756381626751
"180","Arson",43.0178706774302,-87.9343744191844
"181","Arson",43.0671082,-87.9625247
"182","Arson",43.0729529,-87.923579
"183","Arson",43.0689047,-87.90804
"184","Arson",43.1279008,-88.0322332
"185","Arson",43.0495925,-87.9490955
"186","Arson",43.0612643,-87.9728621
