"","lat","lon","crime","cluster"
"112",43.1829728146561,-88.0028171693989,"Arson","1"
"113",43.0761245730317,-87.9238377325199,"Arson","1"
"114",43.1029605,-87.9391017,"Arson","1"
"115",43.0646905,-87.9323621,"Arson","1"
"116",43.1179965,-87.9632766,"Arson","1"
"117",43.0880395253971,-87.9411093264704,"Arson","1"
"118",43.1073583468357,-87.9678907816529,"Arson","1"
"119",43.1226306,-88.0019198,"Arson","1"
"120",43.0388080129788,-87.9504064137716,"Arson","2"
"121",43.1024343,-88.0244312,"Arson","1"
"122",43.1799895,-88.0258287,"Arson","1"
"123",43.0871333,-87.9792273,"Arson","1"
"124",43.0797126685785,-87.9260249310226,"Arson","1"
"125",43.0915449,-88.0228845,"Arson","1"
"126",43.1361199,-87.9854202,"Arson","1"
"127",43.0475144,-87.9397643,"Arson","2"
"128",43.0569998,-87.9430229,"Arson","1"
"129",43.0205022539667,-87.9552047678362,"Arson","4"
"130",43.0061720517076,-87.9355174847482,"Arson","4"
"131",43.0683962,-87.9691026,"Arson","1"
"132",43.0648114721355,-87.9052419298046,"Arson","1"
"133",43.0797126685785,-87.9260249310226,"Arson","1"
"134",43.080599,-87.9071639,"Arson","1"
"135",43.0733288,-87.9097835,"Arson","1"
"136",43.0786456,-87.9072267,"Arson","1"
"137",43.1073280547404,-87.9614841446088,"Arson","1"
"138",43.0754364,-87.9456575,"Arson","1"
"139",43.1022443,-88.0097401,"Arson","1"
"140",43.0486000752472,-87.9539462047855,"Arson","2"
"141",42.9990997439193,-87.9164509854915,"Arson","4"
"142",43.1260154,-88.0134193,"Arson","1"
"143",43.0870915,-87.9444423,"Arson","1"
"144",43.1133867165551,-87.9564933241542,"Arson","1"
"145",43.1192033351333,-87.9533370453066,"Arson","1"
"146",43.0220836,-87.9448075,"Arson","4"
"147",43.0218282,-87.9440095,"Arson","4"
"148",43.1017703,-87.9703083,"Arson","1"
"149",43.0691432475506,-87.948528806329,"Arson","1"
"150",43.0871513,-87.9412918,"Arson","1"
"151",43.0726644,-87.9383894,"Arson","1"
"152",43.0625229,-87.9115566,"Arson","1"
"153",42.9746089694058,-87.9304240154827,"Arson","1"
"154",43.0592733,-87.9514246,"Arson","1"
"155",43.0403579897889,-87.9427941279945,"Arson","2"
"156",43.0760046,-87.947617,"Arson","1"
"157",43.0082049853276,-87.9203969242424,"Arson","4"
"158",43.0641923,-87.9262599,"Arson","1"
"159",43.0750236,-87.9173852,"Arson","1"
"160",42.9746089694058,-87.9304240154827,"Arson","1"
"161",43.0445756,-87.9146984,"Arson","3"
"162",43.0445869266301,-87.9354449136951,"Arson","2"
"163",43.0424077146773,-87.9270727836195,"Arson","1"
"164",43.0887177,-87.9317142,"Arson","1"
"165",43.0685616,-87.9770983,"Arson","1"
"166",43.0557817364752,-87.9552852755957,"Arson","1"
"167",43.0766793,-87.9085977,"Arson","1"
"168",43.1314917986815,-88.0157774641015,"Arson","1"
"169",43.0871590132909,-87.910916285944,"Arson","1"
"170",43.0135295,-87.9321567,"Arson","4"
"171",43.0676945876845,-87.9064518650682,"Arson","1"
"172",43.0696337405386,-87.9905494428587,"Arson","1"
"173",43.1005932,-88.0145481,"Arson","1"
"174",43.0315613586023,-87.9541944439204,"Arson","2"
"175",43.121009,-88.0217512,"Arson","1"
"176",43.1850657679023,-88.0226744766344,"Arson","1"
"177",43.06816,-87.9618993,"Arson","1"
